,Incr_rate,HousePriceIndex,FutureGrowth,FutureValue,Appreciation
0,230.3028203173723,0.065,1.065,6530655.089836916,1764055.089836916
1,100.90298365382,0.039,1.039,8943804.952020517,1557204.9520205166
2,476.3653324287652,0.039,1.039,8229303.1105525475,1432803.1105525475
3,486.6358085483553,0.039,1.039,7212460.801681506,1255760.8016815064
4,99.1222054587848,0.065,1.065,3978183.6358936075,1074583.6358936075
5,388.9607679465776,0.042,1.042,5756512.00245023,1070312.0024502296
6,579.1261451726567,0.039,1.039,5834190.26085285,1015790.26085285
7,451.4427040395713,0.039,1.039,5669398.360117735,987098.3601177353
8,449.59778783308195,0.039,1.039,5294409.001868913,921809.001868913
9,374.8863636363636,0.039,1.039,5059995.2474066205,880995.2474066205
10,423.99244332493697,0.039,1.039,5037595.17272918,877095.1727291802
11,440.00843170320405,0.039,1.039,4652798.214216181,810098.2142161811
12,397.84595300261094,0.039,1.039,4617442.420671248,803942.4206712479
13,284.40611664295875,0.065,1.065,2961990.357638239,800090.3576382389
14,340.054399243141,0.039,1.039,4505563.1287687905,784463.1287687905
15,401.9405618130004,0.039,1.039,4478561.957671119,779761.9576711189
16,481.93400849395624,0.039,1.039,4313648.975451263,751048.9754512627
17,400.5762858377755,0.039,1.039,4206976.18739275,732476.1873927498
18,892.2174535050071,0.039,1.039,4198863.727914974,731063.7279149741
19,380.0396095628802,0.039,1.039,4108779.103266242,715379.103266242
20,338.20313529179293,0.039,1.039,4027654.5084884856,701254.5084884856
21,374.20984269014286,0.039,1.039,3978495.42568286,692695.42568286
22,645.5969133000453,0.039,1.039,3977647.85528966,692547.8552896599
23,350.13766519823787,0.039,1.039,3959122.388123993,689322.3881239928
24,710.35,0.039,1.039,3924735.246457004,683335.246457004
25,314.3868852459017,0.039,1.039,3825811.673422038,666111.6734220381
26,506.8513119533527,0.042,1.042,3579670.4422218883,665570.4422218883
27,491.43553223388307,0.039,1.039,3821210.5770018073,665310.5770018073
28,856.4859926918393,0.039,1.039,3803290.5172598553,662190.5172598553
29,332.9392126860481,0.039,1.039,3768540.131138637,656140.1311386372
30,376.47254023560646,0.042,1.042,3527586.427689028,655886.427689028
31,185.3914822391668,0.039,1.039,3716111.848244953,647011.848244953
32,364.6016358679188,0.039,1.039,3713932.3815195803,646632.3815195803
33,382.15525402335123,0.039,1.039,3700129.0922588874,644229.0922588874
34,389.5467010808195,0.039,1.039,3674459.8174933884,639759.8174933884
35,330.1041518048224,0.039,1.039,3650122.4390600617,635522.4390600617
36,410.2427268032364,0.039,1.039,3588855.207780144,624855.2077801442
37,354.2344277385701,0.039,1.039,3584859.518783628,624159.518783628
38,290.1838867575076,0.039,1.039,3571177.311007678,621777.311007678
39,368.81906077348066,0.042,1.042,3335588.0439275643,620188.0439275643
40,499.18918918918916,0.039,1.039,3489689.471775693,607589.4717756929
41,189.68718466195762,0.039,1.039,3476007.263999743,605207.2639997429
42,520.0909287724616,0.039,1.039,3468015.88600671,603815.8860067101
43,327.6691055696581,0.039,1.039,3467894.804521967,603794.8045219672
44,362.59977194982895,0.039,1.039,3438593.0852141804,598693.0852141804
45,587.1974830590514,0.039,1.039,3438108.759275209,598608.7592752092
46,198.11912225705328,0.065,1.065,2215019.10874404,598319.1087440401
47,311.4713579528933,0.039,1.039,3426727.0997093744,596627.0997093744
48,324.38797644871397,0.039,1.039,3316421.8671085746,577421.8671085746
49,630.4034197168047,0.039,1.039,3310246.7113866857,576346.7113866857
50,301.77366493155967,0.05,1.05,2659770.7762500006,575770.7762500006
51,550.9599027946538,0.039,1.039,3243409.731808594,564709.731808594
52,281.787521079258,0.05,1.05,2600551.311750001,562951.3117500008
53,468.1479859894921,0.039,1.039,3142427.7735329987,547127.7735329987
54,727.6181353767561,0.039,1.039,3138553.166021225,546453.166021225
55,342.5906913073237,0.039,1.039,3131772.6028756215,545272.6028756215
56,482.35561618917694,0.039,1.039,3101138.987235663,539938.987235663
57,355.8355122415023,0.05,1.05,2447525.1524062506,529825.1524062506
58,475.9019426456984,0.039,1.039,3015171.13306819,524971.13306819
59,230.7764769210066,0.039,1.039,2976182.89498097,518182.89498096984
60,378.91965678627145,0.039,1.039,2973640.1838013683,517740.18380136834
61,483.50760456273764,0.039,1.039,2973034.7763776537,517634.7763776537
62,472.14419475655427,0.039,1.039,2959473.6500864467,515273.65008644667
63,378.81172535903994,0.039,1.039,2946881.175673183,513081.17567318305
64,514.0866480871548,0.039,1.039,2934773.027198891,510973.02719889116
65,530.030445613064,0.039,1.039,2756177.8372030845,479877.8372030845
66,430.7602339181287,0.039,1.039,2747338.888816851,478338.8888168512
67,341.0964230171073,0.039,1.039,2747338.888816851,478338.8888168512
68,169.4381755552916,0.039,1.039,2746612.3999083936,478212.3999083936
69,564.5341981132075,0.039,1.039,2729297.7475901563,475197.7475901563
70,894.1958351794417,0.039,1.039,2716947.4361463785,473047.4361463785
71,374.86326843141546,0.039,1.039,2628194.707829818,457594.70782981813
72,287.3612463485881,0.042,1.042,2443403.6157384985,454303.6157384985
73,218.00676554774915,0.065,1.065,1674382.9113602347,452282.9113602347
74,321.6637098363887,0.039,1.039,2590054.0401357985,450954.0401357985
75,398.6195601310248,0.039,1.039,2580367.5213563647,449267.5213563647
76,211.71886487281282,0.039,1.039,2566927.4765499006,446927.4765499006
77,547.8514426028238,0.039,1.039,2555666.898468809,444966.8984688092
78,599.7011952191235,0.039,1.039,2551792.2909570355,444292.2909570355
79,435.5742296918767,0.039,1.039,2546585.78711309,443385.78711309005
80,309.07668231611893,0.039,1.039,2532056.0089439396,440856.0089439396
81,611.3129928008227,0.039,1.039,2512319.7269308437,437419.72693084367
82,403.1614785992218,0.039,1.039,2505175.9193310114,436175.91933101136
83,189.11764705882354,0.053,1.053,1908915.1855654265,434415.1855654265
84,777.8489116517285,0.039,1.039,2490403.9781923755,433603.9781923755
85,238.29465186680122,0.039,1.039,2435554.0656038327,424054.0656038327
86,415.99690880989175,0.039,1.039,2425383.220885427,422283.2208854272
87,296.3126460659569,0.05,1.05,1947860.9206875006,421660.9206875006
88,322.0578914008029,0.039,1.039,2418723.7392245666,421123.7392245666
89,495.5482521661189,0.039,1.039,2413517.235380621,420217.23538062116
90,400.8178844056706,0.042,1.042,2256564.497567554,419564.497567554
91,542.9867184969225,0.039,1.039,2403346.390662216,418446.3906622161
92,388.276032649023,0.039,1.039,2390269.590309981,416169.5903099808
93,477.48091603053433,0.039,1.039,2381551.7234084904,414651.7234084904
94,424.14438502673795,0.039,1.039,2373560.3454154576,413260.3454154576
95,139.65628011564408,0.05,1.05,1904339.7194062506,412239.71940625063
96,232.9724853405503,0.05,1.05,1884302.0988750006,407902.0988750006
97,520.7474226804123,0.039,1.039,2332998.0480265794,406198.04802657943
98,105.27429348647424,0.053,1.053,1758480.4995276493,400180.49952764926
99,387.17553328193264,0.039,1.039,2295220.6247867886,399620.6247867886
100,486.34046890927624,0.042,1.042,2119721.1197618786,394121.1197618786
101,514.8209549071618,0.039,1.039,2245213.9715879625,390913.9715879625
102,336.55710569874674,0.039,1.039,2235406.371323786,389206.3713237862
103,260.0313172832257,0.039,1.039,2227172.8303612676,387772.83036126755
104,242.79433317049342,0.05,1.05,1791133.5448125005,387733.5448125005
105,553.9857651245551,0.039,1.039,2225114.445120638,387414.44512063777
106,162.39710901425417,0.053,1.053,1692066.563264844,385066.563264844
107,346.0278660474211,0.039,1.039,2209373.8521040585,384673.8521040585
108,546.0773872914448,0.039,1.039,2203683.0223211413,383683.0223211413
109,151.42184386886433,0.05,1.05,1771606.4369062504,383506.4369062504
110,402.9362880886427,0.039,1.039,2198355.4369924525,382755.4369924525
111,551.4823529411765,0.05,1.05,1766884.1951250006,382484.19512500055
112,97.0441239468799,0.05,1.05,1761140.9280937505,381240.9280937505
113,167.57857974388824,0.05,1.05,1760119.9028437505,381019.90284375055
114,179.56462585034015,0.065,1.065,1407627.0379932127,380227.0379932127
115,409.22989807474517,0.039,1.039,2177771.584586156,379171.58458615607
116,395.20396912899673,0.039,1.039,2175349.954891298,378749.95489129797
117,468.8079258549057,0.039,1.039,2155008.2654544874,375208.2654544874
118,554.3004798818753,0.039,1.039,2146169.317068254,373669.3170682541
119,422.86648825453466,0.039,1.039,2129096.8277195026,370696.8277195026
120,281.43074581430744,0.039,1.039,2124011.4053603,369811.4053603001
121,428.19503331314354,0.039,1.039,2111782.175401265,367682.1754012648
122,240.09756097560975,0.039,1.039,2110450.279069093,367450.27906909306
123,430.47997554264754,0.039,1.039,2101005.923259145,365805.9232591451
124,252.67439495627414,0.039,1.039,2099674.026926973,365574.0269269729
125,446.4387464387465,0.039,1.039,2090108.5896322823,363908.58963228227
126,1053.5522788203752,0.039,1.039,2083933.4339103934,362833.4339103934
127,481.2711291413117,0.039,1.039,2081875.0486697638,362475.04866976384
128,469.8275862068965,0.039,1.039,2080906.3967918204,362306.3967918204
129,644.6374294398611,0.039,1.039,2076426.3818563323,361526.3818563323
130,340.5968613326473,0.039,1.039,2073641.5077072452,361041.5077072452
131,428.77475247524757,0.039,1.039,2069282.5742565,360282.5742565
132,324.51225612806405,0.039,1.039,2054994.9590568356,357794.9590568356
133,260.13462976813764,0.065,1.065,1319393.4568692464,356393.45686924644
134,430.20767778477034,0.039,1.039,2040223.0179181993,355223.0179181993
135,234.8982785602504,0.05,1.05,1638745.5262500003,354745.52625000034
136,311.8021547502448,0.039,1.039,2036348.4104064258,354548.4104064258
137,243.99672734710575,0.039,1.039,2036348.4104064258,354548.4104064258
138,243.45700955343256,0.042,1.042,1898978.2562818083,353078.25628180825
139,166.72278338945006,0.065,1.065,1302404.3822428926,351804.38224289264
140,415.46072974644403,0.039,1.039,2018428.3506644738,351428.35066447384
141,392.344073307715,0.039,1.039,2016733.2098780728,351133.20987807284
142,355.71975916803507,0.039,1.039,2016248.8839391011,351048.8839391011
143,303.0701754385965,0.039,1.039,2002929.92061738,348729.92061737995
144,302.6908023483366,0.039,1.039,1993243.4018379464,347043.4018379464
